name,type,mana_cost,power,toughness,rarity,colors,text
Stocking the Pantry,Enchantment,{G},,,uncommon,G,"Whenever you put one or more +1/+1 counters on a creature you control, put a supply counter on this enchantment.
{2}, Remove a supply counter from this enchantment: Draw a card."
Sunshower Druid,Creature — Frog Druid,{G},0,2,common,G,"When this creature enters, put a +1/+1 counter on target creature and you gain 1 life."
Tender Wildguide,Creature — Possum Druid,{1}{G},2,2,rare,G,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
{T}: Add one mana of any color.
{T}: Put a +1/+1 counter on this creature."
Thornvault Forager,Creature — Squirrel Ranger,{1}{G},2,2,rare,G,"{T}: Add {G}.
{T}, Forage: Add two mana in any combination of colors. (To forage, exile three cards from your graveyard or sacrifice a Food.)
{3}{G}, {T}: Search your library for a Squirrel card, reveal it, put it into your hand, then shuffle."
Three Tree Rootweaver,Creature — Mole Druid,{1}{G},1,3,common,G,{T}: Add one mana of any color.
Three Tree Scribe,Creature — Frog Druid,{1}{G},2,3,uncommon,G,"Whenever this creature or another creature you control leaves the battlefield without dying, put a +1/+1 counter on target creature you control."
Treeguard Duo,Creature — Frog Rabbit,{3}{G},3,4,common,G,"When this creature enters, until end of turn, target creature you control gains vigilance and gets +X/+X, where X is the number of creatures you control."
Treetop Sentries,Creature — Squirrel Archer,{3}{G},2,4,common,G,"Reach
When this creature enters, you may forage. If you do, draw a card. (To forage, exile three cards from your graveyard or sacrifice a Food.)"
Valley Mightcaller,Creature — Frog Warrior,{G},1,1,rare,G,"Trample
Whenever another Frog, Rabbit, Raccoon, or Squirrel you control enters, put a +1/+1 counter on this creature."
Wear Down,Sorcery,{1}{G},,,uncommon,G,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Destroy target artifact or enchantment. If the gift was promised, instead destroy two target artifacts and/or enchantments."
"Alania, Divergent Storm",Legendary Creature — Otter Wizard,{3}{U}{R},3,5,rare,"R,U","Whenever you cast a spell, if it's the first instant spell, the first sorcery spell, or the first Otter spell other than Alania you've cast this turn, you may have target opponent draw a card. If you do, copy that spell. You may choose new targets for the copy."
"Baylen, the Haymaker",Legendary Creature — Rabbit Warrior,{R}{G}{W},4,3,rare,"G,R,W","Tap two untapped tokens you control: Add one mana of any color.
Tap three untapped tokens you control: Draw a card.
Tap four untapped tokens you control: Put three +1/+1 counters on Baylen. It gains trample until end of turn."
Burrowguard Mentor,Creature — Rabbit Soldier,{G}{W},*,*,uncommon,"G,W","Trample
Burrowguard Mentor's power and toughness are each equal to the number of creatures you control."
"Camellia, the Seedmiser",Legendary Creature — Squirrel Warlock,{1}{B}{G},3,3,rare,"B,G","Menace
Other Squirrels you control have menace.
Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token.
{2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)"
Cindering Cutthroat,Creature — Lizard Assassin,{2}{B/R},3,2,common,"B,R","This creature enters with a +1/+1 counter on it if an opponent lost life this turn.
{1}{B/R}: This creature gains menace until end of turn. (It can't be blocked except by two or more creatures.)"
"Clement, the Worrywort",Legendary Creature — Frog Druid,{1}{G}{U},3,3,rare,"G,U","Vigilance
Whenever Clement or another creature you control enters, return up to one target creature you control with lesser mana value to its owner's hand.
Frogs you control have ""{T}: Add {G} or {U}. Spend this mana only to cast a creature spell."""
Corpseberry Cultivator,Creature — Squirrel Warlock,{1}{B/G}{B/G},2,3,common,"B,G","At the beginning of combat on your turn, you may forage. (Exile three cards from your graveyard or sacrifice a Food.)
Whenever you forage, put a +1/+1 counter on this creature."
Dreamdew Entrancer,Creature — Frog Wizard,{2}{G}{U},3,4,rare,"G,U","Reach
When this creature enters, tap up to one target creature and put three stun counters on it. If you control that creature, draw two cards."
"Finneas, Ace Archer",Legendary Creature — Rabbit Archer,{G}{W},2,2,rare,"G,W","Vigilance, reach
Whenever Finneas attacks, put a +1/+1 counter on each other creature you control that's a token or a Rabbit. Then if creatures you control have total power 10 or greater, draw a card."
Fireglass Mentor,Creature — Lizard Warlock,{B}{R},2,1,uncommon,"B,R","At the beginning of your second main phase, if an opponent lost life this turn, exile the top two cards of your library. Choose one of them. Until end of turn, you may play that card."
"Gev, Scaled Scorch",Legendary Creature — Lizard Mercenary,{B}{R},3,2,rare,"B,R","Ward—Pay 2 life.
Other creatures you control enter with an additional +1/+1 counter on them for each opponent who lost life this turn.
Whenever you cast a Lizard spell, Gev deals 1 damage to target opponent."
"Glarb, Calamity's Augur",Legendary Creature — Frog Wizard Noble,{B}{G}{U},2,4,mythic,"B,G,U","Deathtouch
You may look at the top card of your library any time.
You may play lands and cast spells with mana value 4 or greater from the top of your library.
{T}: Surveil 2."
Head of the Homestead,Creature — Rabbit Citizen,{3}{G/W}{G/W},3,2,common,"G,W","When this creature enters, create two 1/1 white Rabbit creature tokens."
"Helga, Skittish Seer",Legendary Creature — Frog Druid,{G}{W}{U},1,3,mythic,"G,U,W","Whenever you cast a creature spell with mana value 4 or greater, you draw a card, gain 1 life, and put a +1/+1 counter on Helga.
{T}: Add X mana of any one color, where X is Helga's power. Spend this mana only to cast creature spells with mana value 4 or greater or creature spells with {X} in their mana costs."
"Hugs, Grisly Guardian",Legendary Creature — Badger Warrior,{X}{R}{R}{G}{G},5,5,mythic,"G,R","Trample
When Hugs enters, exile the top X cards of your library. Until the end of your next turn, you may play those cards.
You may play an additional land on each of your turns."
The Infamous Cruelclaw,Legendary Creature — Weasel Mercenary,{1}{B}{R},3,3,mythic,"B,R","Menace
Whenever The Infamous Cruelclaw deals combat damage to a player, exile cards from the top of your library until you exile a nonland card. You may cast that card by discarding a card rather than paying its mana cost."
Junkblade Bruiser,Creature — Raccoon Berserker,{3}{R/G}{R/G},4,5,common,"G,R","Trample
Whenever you expend 4, this creature gets +2/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)"
"Kastral, the Windcrested",Legendary Creature — Bird Scout,{3}{W}{U},4,5,rare,"U,W","Flying
Whenever one or more Birds you control deal combat damage to a player, choose one —
• You may put a Bird creature card from your hand or graveyard onto the battlefield with a finality counter on it.
• Put a +1/+1 counter on each Bird you control.
• Draw a card."
Lilysplash Mentor,Creature — Frog Druid,{2}{G}{U},4,4,uncommon,"G,U","Reach
{1}{G}{U}: Exile another target creature you control, then return it to the battlefield under its owner's control with a +1/+1 counter on it. Activate only as a sorcery."
Lunar Convocation,Enchantment,{W}{B},,,rare,"B,W","At the beginning of your end step, if you gained life this turn, each opponent loses 1 life.
At the beginning of your end step, if you gained and lost life this turn, create a 1/1 black Bat creature token with flying.
{1}{B}, Pay 2 life: Draw a card."
"Mabel, Heir to Cragflame",Legendary Creature — Mouse Soldier,{1}{R}{W},3,3,rare,"R,W","Other Mice you control get +1/+1.
When Mabel enters, create Cragflame, a legendary colorless Equipment artifact token with ""Equipped creature gets +1/+1 and has vigilance, trample, and haste"" and equip {2}."
Mind Drill Assailant,Creature — Rat Warlock,{2}{U/B}{U/B},2,5,common,"B,U","Threshold — As long as there are seven or more cards in your graveyard, this creature gets +3/+0.
{2}{U/B}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Moonrise Cleric,Creature — Bat Cleric,{1}{W/B}{W/B},2,3,common,"B,W","Flying
Whenever this creature attacks, you gain 1 life."
"Muerra, Trash Tactician",Legendary Creature — Raccoon Warrior,{1}{R}{G},2,4,rare,"G,R","At the beginning of your first main phase, add {R} or {G} for each Raccoon you control.
Whenever you expend 4, you gain 3 life. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)
Whenever you expend 8, exile the top two cards of your library. Until the end of your next turn, you may play those cards."
Plumecreed Mentor,Creature — Bird Scout,{1}{W}{U},2,3,uncommon,"U,W","Flying
Whenever this creature or another creature you control with flying enters, put a +1/+1 counter on target creature you control without flying."
Pond Prophet,Creature — Frog Advisor,{G/U}{G/U},1,1,common,"G,U","When this creature enters, draw a card."
"Ral, Crackling Wit",Legendary Planeswalker — Ral,{2}{U}{R},,,mythic,"R,U","Whenever you cast a noncreature spell, put a loyalty counter on Ral.
[+1]: Create a 1/1 blue and red Otter creature token with prowess.
[−3]: Draw three cards, then discard two cards.
[−10]: Draw three cards. You get an emblem with ""Instant and sorcery spells you cast have storm."" (Whenever you cast an instant or sorcery spell, copy it for each spell cast before it this turn.)"
Seedglaive Mentor,Creature — Mouse Soldier,{1}{R}{W},3,2,uncommon,"R,W","Vigilance, haste
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, put a +1/+1 counter on it."
Seedpod Squire,Creature — Bird Scout,{3}{W/U},3,3,common,"U,W","Flying
Whenever this creature attacks, target creature you control without flying gets +1/+1 until end of turn."
Starseer Mentor,Creature — Bat Warlock,{3}{W}{B},3,5,uncommon,"B,W","Flying, vigilance
At the beginning of your end step, if you gained or lost life this turn, target opponent loses 3 life unless they sacrifice a nonland permanent of their choice or discard a card."
Stormcatch Mentor,Creature — Otter Wizard,{U}{R},1,1,uncommon,"R,U","Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Instant and sorcery spells you cast cost {1} less to cast."
Tempest Angler,Creature — Otter Wizard,{1}{U/R}{U/R},2,2,common,"R,U","Whenever you cast a noncreature spell, put a +1/+1 counter on this creature."
Tidecaller Mentor,Creature — Rat Wizard,{1}{U}{B},3,3,uncommon,"B,U","Menace
Threshold — When this creature enters, if there are seven or more cards in your graveyard, return up to one target nonland permanent to its owner's hand."
Veteran Guardmouse,Creature — Mouse Soldier,{3}{R/W},3,4,common,"R,W","Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, it gets +1/+0 and gains first strike until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)"
Vinereap Mentor,Creature — Squirrel Druid,{B}{G},3,2,uncommon,"B,G","When this creature enters or dies, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")"
"Vren, the Relentless",Legendary Creature — Rat Rogue,{2}{U}{B},3,4,rare,"B,U","Ward {2}
If a creature an opponent controls would die, exile it instead.
At the beginning of each end step, create X 1/1 black Rat creature tokens with ""This token gets +1/+1 for each other Rat you control,"" where X is the number of creatures that were exiled under your opponents' control this turn."
Wandertale Mentor,Creature — Raccoon Bard,{R}{G},2,2,uncommon,"G,R","Whenever you expend 4, put a +1/+1 counter on this creature. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)
{T}: Add {R} or {G}."
"Ygra, Eater of All",Legendary Creature — Elemental Cat,{3}{B}{G},6,6,mythic,"B,G","Ward—Sacrifice a Food.
Other creatures are Food artifacts in addition to their other types and have ""{2}, {T}, Sacrifice this permanent: You gain 3 life.""
Whenever a Food is put into a graveyard from the battlefield, put two +1/+1 counters on Ygra."
"Zoraline, Cosmos Caller",Legendary Creature — Bat Cleric,{1}{W}{B},3,3,rare,"B,W","Flying, vigilance
Whenever a Bat you control attacks, you gain 1 life.
Whenever Zoraline enters or attacks, you may pay {W}{B} and 2 life. When you do, return target nonland permanent card with mana value 3 or less from your graveyard to the battlefield with a finality counter on it."
Barkform Harvester,Artifact Creature — Shapeshifter,{3},2,3,common,,"Changeling (This card is every creature type.)
Reach
{2}: Put target card from your graveyard on the bottom of your library."
Bumbleflower's Sharepot,Artifact,{2},,,common,,"When this artifact enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{5}, {T}, Sacrifice this artifact: Destroy target nonland permanent. Activate only as a sorcery."
Fountainport Bell,Artifact,{1},,,common,,"When this artifact enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.
{1}, Sacrifice this artifact: Draw a card."
Heirloom Epic,Artifact,{1},,,uncommon,,"{4}, {T}: Draw a card. For each mana in this ability's activation cost, you may tap an untapped creature you control rather than pay that mana. Activate only as a sorcery."
Patchwork Banner,Artifact,{3},,,uncommon,,"As this artifact enters, choose a creature type.
Creatures you control of the chosen type get +1/+1.
{T}: Add one mana of any color."
Short Bow,Artifact — Equipment,{2},,,uncommon,,"Equipped creature gets +1/+1 and has vigilance and reach.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Starforged Sword,Artifact — Equipment,{4},,,uncommon,,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, when it enters, they create a tapped 1/1 blue Fish creature token.)
When this Equipment enters, if the gift was promised, attach this Equipment to target creature you control.
Equipped creature gets +3/+3 and loses flying.
Equip {3}"
Tangle Tumbler,Artifact — Vehicle,{3},6,6,uncommon,,"Vigilance
{3}, {T}: Put a +1/+1 counter on target creature.
Tap two untapped tokens you control: This Vehicle becomes an artifact creature until end of turn."
Fabled Passage,Land,,,,rare,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land."
Fountainport,Land,,,,rare,,"{T}: Add {C}.
{2}, {T}, Sacrifice a token: Draw a card.
{3}, {T}, Pay 1 life: Create a 1/1 blue Fish creature token.
{4}, {T}: Create a Treasure token."
Hidden Grotto,Land,,,,common,,"When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{T}: Add {C}.
{1}, {T}: Add one mana of any color."
Lilypad Village,Land,,,,uncommon,,"{T}: Add {C}.
{T}: Add {U}. Spend this mana only to cast a creature spell.
{U}, {T}: Surveil 2. Activate only if a Bird, Frog, Otter, or Rat entered the battlefield under your control this turn."
Lupinflower Village,Land,,,,uncommon,,"{T}: Add {C}.
{T}: Add {W}. Spend this mana only to cast a creature spell.
{1}{W}, {T}, Sacrifice this land: Look at the top six cards of your library. You may reveal a Bat, Bird, Mouse, or Rabbit card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Mudflat Village,Land,,,,uncommon,,"{T}: Add {C}.
{T}: Add {B}. Spend this mana only to cast a creature spell.
{1}{B}, {T}, Sacrifice this land: Return target Bat, Lizard, Rat, or Squirrel card from your graveyard to your hand."
Oakhollow Village,Land,,,,uncommon,,"{T}: Add {C}.
{T}: Add {G}. Spend this mana only to cast a creature spell.
{G}, {T}: Put a +1/+1 counter on each Frog, Rabbit, Raccoon, or Squirrel you control that entered the battlefield this turn."
Rockface Village,Land,,,,uncommon,,"{T}: Add {C}.
{T}: Add {R}. Spend this mana only to cast a creature spell.
{R}, {T}: Target Lizard, Mouse, Otter, or Raccoon you control gets +1/+0 and gains haste until end of turn. Activate only as a sorcery."
Three Tree City,Legendary Land,,,,rare,,"As Three Tree City enters, choose a creature type.
{T}: Add {C}.
{2}, {T}: Choose a color. Add an amount of mana of that color equal to the number of creatures you control of the chosen type."
"Bria, Riptide Rogue",Legendary Creature — Otter Rogue,{2}{U}{R},3,3,mythic,"R,U","Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Other creatures you control have prowess. (If a creature has multiple instances of prowess, each triggers separately.)
Whenever you cast a noncreature spell, target creature you control can't be blocked this turn."
"Byrke, Long Ear of the Law",Legendary Creature — Rabbit Soldier,{4}{G}{W},4,4,mythic,"G,W","Vigilance
When Byrke enters, put a +1/+1 counter on each of up to two target creatures.
Whenever a creature you control with a +1/+1 counter on it attacks, double the number of +1/+1 counters on it."
Serra Redeemer,Creature — Angel Soldier,{3}{W}{W},2,4,rare,W,"Flying
Whenever another creature you control with power 2 or less enters, put two +1/+1 counters on that creature."
Charmed Sleep,Enchantment — Aura,{1}{U}{U},,,common,U,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step."
Mind Spring,Sorcery,{X}{U}{U},,,rare,U,Draw X cards.
Thieving Otter,Creature — Otter,{2}{U},2,2,common,U,"Whenever this creature deals damage to an opponent, draw a card."
Flame Lash,Instant,{3}{R},,,common,R,Flame Lash deals 4 damage to any target.
Colossification,Enchantment — Aura,{5}{G}{G},,,rare,G,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature gets +20/+20."
Rabid Bite,Sorcery,{1}{G},,,common,G,Target creature you control deals damage equal to its power to target creature you don't control.
Sword of Vengeance,Artifact — Equipment,{3},,,rare,,"Equipped creature gets +2/+0 and has first strike, vigilance, trample, and haste.
Equip {3}"
Acrobatic Cheerleader,Creature — Human Survivor,{1}{W},2,2,common,W,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying counter on it. This ability triggers only once."
Cult Healer,Creature — Human Doctor,{2}{W},3,3,common,W,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature gains lifelink until end of turn."
Dazzling Theater // Prop Room,Enchantment — Room,{3}{W},,,rare,W,"Creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a creature spell pays for {1} or one mana of that creature's color.)
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)"
Dollmaker's Shop // Porcelain Gallery,Enchantment — Room,{1}{W},,,mythic,W,"Whenever one or more non-Toy creatures you control attack a player, create a 1/1 white Toy artifact creature token.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)"
Emerge from the Cocoon,Sorcery,{4}{W},,,common,W,Return target creature card from your graveyard to the battlefield. You gain 3 life.
Enduring Innocence,Enchantment Creature — Sheep Glimmer,{1}{W}{W},2,1,rare,W,"Lifelink
Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn.
When Enduring Innocence dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)"
Ethereal Armor,Enchantment — Aura,{W},,,uncommon,W,"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike."
Exorcise,Sorcery,{1}{W},,,uncommon,W,"Exile target artifact, enchantment, or creature with power 4 or greater."
Fear of Abduction,Enchantment Creature — Nightmare,{4}{W}{W},5,5,uncommon,W,"As an additional cost to cast this spell, exile a creature you control.
Flying
When this creature enters, exile target creature an opponent controls.
When this creature leaves the battlefield, put each card exiled with it into its owner's hand."
Fear of Immobility,Enchantment Creature — Nightmare,{4}{W},4,4,common,W,"When this creature enters, tap up to one target creature. If an opponent controls that creature, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Fear of Surveillance,Enchantment Creature — Nightmare,{1}{W},2,2,common,W,"Vigilance
Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Friendly Ghost,Creature — Spirit,{3}{W},2,4,common,W,"Flying
When this creature enters, target creature gets +2/+4 until end of turn."
Ghostly Dancers,Creature — Spirit,{3}{W}{W},2,5,rare,W,"Flying
When this creature enters, return an enchantment card from your graveyard to your hand or unlock a locked door of a Room you control.
Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, create a 3/1 white Spirit creature token with flying."
Glimmer Seeker,Creature — Human Survivor,{2}{W},3,3,uncommon,W,"Survival — At the beginning of your second main phase, if this creature is tapped, draw a card if you control a Glimmer creature. If you don't control a Glimmer creature, create a 1/1 white Glimmer enchantment creature token."
Grand Entryway // Elegant Rotunda,Enchantment — Room,{1}{W},,,common,W,"When you unlock this door, create a 1/1 white Glimmer enchantment creature token.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)"
Hardened Escort,Creature — Human Soldier,{2}{W},2,4,common,W,"Whenever this creature attacks, another target creature you control gets +1/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Jump Scare,Instant,{W},,,common,W,"Until end of turn, target creature gets +2/+2, gains flying, and becomes a Horror enchantment creature in addition to its other types."
Leyline of Hope,Enchantment,{2}{W}{W},,,rare,W,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If you would gain life, you gain that much life plus 1 instead.
As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2."
Lionheart Glimmer,Enchantment Creature — Cat Glimmer,{3}{W}{W},2,5,uncommon,W,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Whenever you attack, creatures you control get +1/+1 until end of turn."
Living Phone,Artifact Creature — Toy,{2}{W},2,1,common,W,"When this creature dies, look at the top five cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Optimistic Scavenger,Creature — Human Scout,{W},1,1,uncommon,W,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, put a +1/+1 counter on target creature."
Orphans of the Wheat,Creature — Human,{1}{W},2,1,uncommon,W,"Whenever this creature attacks, tap any number of untapped creatures you control. This creature gets +1/+1 until end of turn for each creature tapped this way."
Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,{5}{W}{W},6,6,mythic,W,"Impending 4—{2}{W}{W} (If you cast this spell for its impending cost, it enters with four time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.)
Whenever this permanent enters or attacks, create two 2/1 white Insect creature tokens with flying."
Patched Plaything,Artifact Creature — Toy,{2}{W},4,3,uncommon,W,"Double strike
This creature enters with two -1/-1 counters on it if you cast it from your hand."
Possessed Goat,Creature — Goat,{W},1,1,common,W,"{3}, Discard a card: Put three +1/+1 counters on this creature and it becomes a black Demon in addition to its other colors and types. Activate only once."
Reluctant Role Model,Creature — Human Survivor,{1}{W},2,2,rare,W,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying, lifelink, or +1/+1 counter on it.
Whenever this creature or another creature you control dies, if it had counters on it, put those counters on up to one target creature."
Savior of the Small,Creature — Kor Survivor,{3}{W},3,4,uncommon,W,"Survival — At the beginning of your second main phase, if this creature is tapped, return target creature card with mana value 3 or less from your graveyard to your hand."
Seized from Slumber,Instant,{4}{W},,,common,W,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature."
Shardmage's Rescue,Enchantment — Aura,{W},,,uncommon,W,"Flash
Enchant creature you control
As long as this Aura entered this turn, enchanted creature has hexproof.
Enchanted creature gets +1/+1."
Sheltered by Ghosts,Enchantment — Aura,{1}{W},,,uncommon,W,"Enchant creature you control
When this Aura enters, exile target nonland permanent an opponent controls until this Aura leaves the battlefield.
Enchanted creature gets +1/+0 and has lifelink and ward {2}."
Shepherding Spirits,Creature — Spirit,{4}{W}{W},4,5,common,W,"Flying
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)"
Split Up,Sorcery,{1}{W}{W},,,rare,W,"Choose one —
• Destroy all tapped creatures.
• Destroy all untapped creatures."
Splitskin Doll,Artifact Creature — Toy,{1}{W},2,1,uncommon,W,"When this creature enters, draw a card. Then discard a card unless you control another creature with power 2 or less."
Surgical Suite // Hospital Room,Enchantment — Room,{1}{W},,,uncommon,W,"When you unlock this door, return target creature card with mana value 3 or less from your graveyard to the battlefield.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)"
"Toby, Beastie Befriender",Legendary Creature — Human Wizard,{2}{W},1,1,rare,W,"When Toby enters, create a 4/4 white Beast creature token with ""This token can't attack or block alone.""
As long as you control four or more creature tokens, creature tokens you control have flying."
Trapped in the Screen,Enchantment,{2}{W},,,common,W,"Ward {2} (Whenever this enchantment becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this enchantment enters, exile target artifact, creature, or enchantment an opponent controls until this enchantment leaves the battlefield."
Unidentified Hovership,Artifact — Vehicle,{1}{W}{W},2,2,rare,W,"Flying
When this Vehicle enters, exile up to one target creature with toughness 5 or less.
When this Vehicle leaves the battlefield, the exiled card's owner manifests dread.
Crew 1"
Unsettling Twins,Creature — Human,{3}{W},2,2,common,W,"When this creature enters, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)"
Unwanted Remake,Instant,{W},,,uncommon,W,"Destroy target creature. Its controller manifests dread. (That player looks at the top two cards of their library, then puts one onto the battlefield face down as a 2/2 creature and the other into their graveyard. If it's a creature card, it can be turned face up any time for its mana cost.)"
Veteran Survivor,Creature — Human Survivor,{W},2,1,uncommon,W,"Survival — At the beginning of your second main phase, if this creature is tapped, exile up to one target card from a graveyard.
As long as there are three or more cards exiled with this creature, it gets +3/+3 and has hexproof. (It can't be the target of spells or abilities your opponents control.)"
The Wandering Rescuer,Legendary Creature — Human Samurai Noble,{3}{W}{W},3,4,mythic,W,"Flash
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Double strike
Other tapped creatures you control have hexproof."
Abhorrent Oculus,Creature — Eye,{2}{U},5,5,mythic,U,"As an additional cost to cast this spell, exile six cards from your graveyard.
Flying
At the beginning of each opponent's upkeep, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)"
Bottomless Pool // Locker Room,Enchantment — Room,{U},,,uncommon,U,"When you unlock this door, return up to one target creature to its owner's hand.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)"
Central Elevator // Promising Stairs,Enchantment — Room,{3}{U},,,rare,U,"When you unlock this door, search your library for a Room card that doesn't have the same name as a Room you control, reveal it, put it into your hand, then shuffle.
(You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)"
Clammy Prowler,Enchantment Creature — Horror,{3}{U},2,5,common,U,"Whenever this creature attacks, another target attacking creature can't be blocked this turn."
Creeping Peeper,Creature — Eye,{1}{U},2,1,common,U,"{T}: Add {U}. Spend this mana only to cast an enchantment spell, unlock a door, or turn a permanent face up."
Cursed Windbreaker,Artifact — Equipment,{2}{U},,,uncommon,U,"When this Equipment enters, manifest dread, then attach this Equipment to that creature. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
Equipped creature has flying.
Equip {3}"
Daggermaw Megalodon,Creature — Shark,{4}{U}{U},5,7,common,U,"Vigilance
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)"
Don't Make a Sound,Instant,{1}{U},,,common,U,"Counter target spell unless its controller pays {2}. If they do, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Duskmourn's Domination,Enchantment — Aura,{4}{U}{U},,,uncommon,U,"Enchant creature
You control enchanted creature.
Enchanted creature gets -3/-0 and loses all abilities."
Enduring Curiosity,Enchantment Creature — Cat Glimmer,{2}{U}{U},4,3,rare,U,"Flash
Whenever a creature you control deals combat damage to a player, draw a card.
When Enduring Curiosity dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)"
Enter the Enigma,Sorcery,{U},,,common,U,"Target creature can't be blocked this turn.
Draw a card."
Entity Tracker,Creature — Human Scout,{2}{U},2,3,rare,U,"Flash
Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, draw a card."
Erratic Apparition,Creature — Spirit,{2}{U},1,3,common,U,"Flying, vigilance
Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature gets +1/+1 until end of turn."
Fear of Failed Tests,Enchantment Creature — Nightmare,{4}{U},2,7,uncommon,U,"Whenever this creature deals combat damage to a player, draw that many cards."
Fear of Falling,Enchantment Creature — Nightmare,{3}{U}{U},4,4,uncommon,U,"Flying
Whenever this creature attacks, target creature defending player controls gets -2/-0 and loses flying until your next turn."
Fear of Impostors,Enchantment Creature — Nightmare,{1}{U}{U},3,2,uncommon,U,"Flash
When this creature enters, counter target spell. Its controller manifests dread. (That player looks at the top two cards of their library, then puts one onto the battlefield face down as a 2/2 creature and the other into their graveyard. If it's a creature card, it can be turned face up any time for its mana cost.)"
